Month,Python: (Canada),Java: (Canada),JavaScript: (Canada),Ruby: (Canada),C#: (Canada)
2004-01,8,87,41,<1,14
2004-02,8,100,46,1,16
2004-03,8,94,47,1,16
2004-04,8,90,43,1,15
2004-05,8,81,40,1,18
2004-06,7,88,41,1,18
2004-07,9,86,41,1,19
2004-08,7,76,39,1,16
2004-09,7,89,35,1,18
2004-10,8,95,36,1,17
2004-11,7,98,34,1,16
2004-12,8,76,31,1,13
2005-01,7,80,31,1,15
2005-02,8,91,35,1,17
2005-03,8,86,32,1,16
2005-04,8,72,30,1,18
2005-05,7,75,34,1,17
2005-06,8,72,33,2,18
2005-07,7,73,31,2,17
2005-08,7,64,33,2,17
2005-09,8,75,30,2,16
2005-10,8,74,29,3,16
2005-11,8,76,31,2,16
2005-12,7,64,27,3,15
2006-01,7,65,27,2,15
2006-02,7,69,30,3,16
2006-03,8,70,31,4,16
2006-04,7,59,27,3,17
2006-05,8,59,28,3,18
2006-06,7,56,28,3,17
2006-07,7,53,27,3,14
2006-08,8,51,28,3,16
2006-09,8,59,25,3,14
2006-10,7,59,24,3,15
2006-11,7,59,25,3,15
2006-12,7,50,22,2,12
2007-01,7,55,24,3,13
2007-02,7,57,24,3,14
2007-03,7,60,26,3,14
2007-04,7,53,23,3,13
2007-05,7,51,24,3,16
2007-06,8,48,23,3,15
2007-07,7,50,25,3,16
2007-08,7,45,22,3,14
2007-09,7,51,22,3,14
2007-10,8,54,23,3,14
2007-11,8,51,23,3,15
2007-12,7,41,20,3,11
2008-01,6,43,19,2,13
2008-02,7,46,20,2,14
2008-03,6,45,20,2,14
2008-04,7,44,22,2,14
2008-05,6,40,20,2,14
2008-06,7,40,19,2,14
2008-07,7,41,20,2,14
2008-08,6,36,19,2,13
2008-09,7,41,20,2,13
2008-10,8,43,19,2,14
2008-11,7,45,19,2,14
2008-12,6,37,17,2,12
2009-01,6,39,17,2,12
2009-02,7,41,19,2,13
2009-03,7,43,20,2,14
2009-04,7,38,19,2,13
2009-05,7,36,18,2,12
2009-06,7,35,19,2,13
2009-07,7,34,19,2,12
2009-08,6,30,17,2,11
2009-09,7,35,17,2,12
2009-10,7,35,17,1,12
2009-11,8,37,18,2,12
2009-12,6,31,16,1,10
2010-01,7,33,17,2,11
2010-02,7,34,17,2,11
2010-03,8,37,18,2,12
2010-04,7,34,17,2,12
2010-05,7,31,17,2,11
2010-06,6,31,16,2,12
2010-07,6,29,15,1,10
2010-08,6,28,16,1,10
2010-09,7,33,15,2,11
2010-10,8,34,15,2,11
2010-11,8,34,16,2,11
2010-12,7,29,15,2,9
2011-01,7,29,14,2,10
2011-02,8,32,17,2,11
2011-03,8,31,16,2,11
2011-04,7,29,16,2,9
2011-05,7,28,16,2,10
2011-06,7,28,16,2,10
2011-07,7,25,14,2,10
2011-08,8,26,15,2,9
2011-09,8,32,16,2,10
2011-10,9,34,15,2,10
2011-11,8,34,16,2,11
2011-12,7,29,13,1,9
2012-01,7,29,15,2,10
2012-02,8,31,16,2,11
2012-03,9,31,16,2,11
2012-04,8,27,15,2,10
2012-05,8,26,16,2,11
2012-06,8,26,15,1,11
2012-07,8,26,15,2,11
2012-08,7,28,15,1,10
2012-09,8,31,14,1,10
2012-10,9,32,15,2,11
2012-11,9,31,15,1,11
2012-12,7,24,12,1,8
2013-01,9,37,15,2,10
2013-02,9,33,15,2,11
2013-03,9,31,16,2,11
2013-04,9,29,15,2,10
2013-05,9,26,16,2,11
2013-06,8,25,15,2,10
2013-07,8,23,15,2,10
2013-08,13,21,15,1,9
2013-09,10,26,15,1,10
2013-10,11,35,16,2,11
2013-11,11,32,16,1,10
2013-12,9,25,14,1,9
2014-01,10,32,15,2,10
2014-02,11,30,16,2,10
2014-03,12,29,17,2,11
2014-04,11,29,18,2,11
2014-05,10,27,17,2,11
2014-06,10,24,17,2,11
2014-07,10,25,17,2,11
2014-08,9,24,16,2,10
2014-09,11,29,17,2,10
2014-10,13,31,17,2,11
2014-11,12,32,18,2,11
2014-12,10,24,15,2,9
2015-01,11,28,16,2,11
2015-02,13,30,18,2,11
2015-03,13,28,18,2,11
2015-04,12,26,17,2,11
2015-05,11,24,17,2,11
2015-06,12,23,18,2,10
2015-07,11,22,17,2,10
2015-08,11,20,16,2,10
2015-09,13,25,17,2,10
2015-10,14,28,18,2,10
2015-11,15,27,18,2,10
2015-12,12,21,16,1,9
2016-01,14,22,17,2,10
2016-02,16,25,18,2,11
2016-03,16,23,18,2,11
2016-04,14,21,17,2,11
2016-05,14,20,18,2,11
2016-06,14,19,18,2,10
2016-07,13,16,16,2,9
2016-08,12,15,16,2,10
2016-09,16,20,17,2,10
2016-10,18,23,18,2,10
2016-11,20,24,20,2,11
2016-12,15,18,17,1,9
2017-01,18,21,19,2,10
2017-02,21,24,22,2,12
2017-03,22,25,22,2,12
2017-04,18,20,20,2,10
2017-05,18,19,21,2,11
2017-06,19,19,20,2,10
2017-07,17,17,19,2,10
2017-08,17,15,19,1,10
2017-09,21,20,19,1,10
2017-10,24,23,20,1,11
2017-11,23,22,20,2,11
2017-12,18,17,16,1,8
2018-01,21,20,19,1,10
2018-02,23,22,20,2,10
2018-03,23,21,21,2,10
2018-04,20,19,20,1,10
2018-05,22,18,20,1,11
2018-06,22,18,19,2,10
2018-07,21,16,19,1,9
2018-08,20,15,19,1,9
2018-09,23,19,18,1,9
2018-10,27,21,20,1,10
2018-11,26,21,20,1,10
2018-12,19,15,15,1,8
2019-01,23,18,18,1,9
2019-02,25,20,19,1,10
2019-03,25,19,19,1,9
2019-04,23,17,18,1,9
2019-05,24,17,19,1,10
2019-06,24,16,18,1,9
